108367008	Dislocation of joint	Dislocation of joint
3384011000036100	Arthrotec	Arthrotec
166717003	Serum creatinine raised	Serum creatinine raised
3877011000036101	Lipitor	Lipitor
402234004	Foot eczema	Foot eczema
404640003	Dizziness	Dizziness
271681002	Stomach ache	Stomach ache
76948002	Severe pain	Severe pain
36031001	Burning feet	Burning feet
76948002	Severe pain	Severe pain
42399005	Renal failure	Renal failure
288227007	Myalgia/myositis - upper arm	Myalgia/myositis - upper arm
419723007	Mentally dull	Mentally dull
248490000	Bloating symptom	Bloating symptom
22253000	Pain	Pain
162076009	Excessive upper gastrointestinal gas	Excessive upper gastrointestinal gas
247592009	Poor short-term memory	Poor short-term memory
62507009	Pins and needles	Pins and needles
3877011000036101	Lipitor	Lipitor
62507009	Pins and needles	Pins and needles
3384011000036100	Arthrotec	Arthrotec
25064002	Headache	Headache
3877011000036101	Lipitor	Lipitor
48694002	Anxiety	Anxiety
22253000	Pain	Pain
386807006	Memory impairment	Memory impairment
271807003	Rash	Rash
69813011000036107	glucosamine	glucosamine
62507009	Pins and needles	Pins and needles
57676002	Arthralgia	Arthralgia
308925008	Digestive symptom	Digestive symptom
62507009	Pins and needles	Pins and needles
3877011000036101	Lipitor	Lipitor
386692008	Menorrhagia	Menorrhagia
9126005	Menstrual spotting	Menstrual spotting
3877011000036101	Lipitor	Lipitor
3877011000036101	Lipitor	Lipitor
55300003	Muscle cramp	Muscle cramp
48167000	Amnesia	Amnesia
3877011000036101	Lipitor	Lipitor
84229001	Fatigue	Fatigue
247640008	Unable to think clearly	Unable to think clearly
399114005	Adhesive capsulitis of shoulder	Adhesive capsulitis of shoulder
21288011000036105	diclofenac	diclofenac
21930011000036101	ezetimibe	ezetimibe
22253000	Pain	Pain
426206001	Constant pain	Constant pain
3877011000036101	Lipitor	Lipitor
419723007	Mentally dull	Mentally dull
404640003	Dizziness	Dizziness
22253000	Pain	Pain
444827008	Erythema of skin	Erythema of skin
3877011000036101	Lipitor	Lipitor
48167000	Amnesia	Amnesia
68962001	Myalgia	Myalgia
3877011000036101	Lipitor	Lipitor
57676002	Arthralgia	Arthralgia
279039007	Low back pain	Low back pain
3877011000036101	Lipitor	Lipitor
22253000	Pain	Pain
162076009	Excessive upper gastrointestinal gas	Excessive upper gastrointestinal gas
301345002	Difficulty sleeping	Difficulty sleeping
230145002	Difficulty breathing	Difficulty breathing
931804011000036107	omega-3-acid ethyl esters-90	omega-3-acid ethyl esters-90
271594007	Syncope	Syncope
18963009	Mood swings	Mood swings
3877011000036101	Lipitor	Lipitor
3424008	Tachycardia	Tachycardia
84229001	Fatigue	Fatigue
58901008	Excitement	Excitement
84229001	Fatigue	Fatigue
68962001	Myalgia	Myalgia
3877011000036101	Lipitor	Lipitor
271681002	Stomach ache	Stomach ache
3877011000036101	Lipitor	Lipitor
3877011000036101	Lipitor	Lipitor
30989003	Knee pain	Knee pain
81680005	Neck pain	Neck pain
22253000	Pain	Pain
49218002	Hip pain	Hip pain
49218002	Hip pain	Hip pain
26544005	Muscle weakness	Muscle weakness
4031011000036106	Crestor	Crestor
10601006	Pain in lower limb	Pain in lower limb
271137009	Bad circulation - vasomotor change	Bad circulation - vasomotor change
39575007	Urine looks dark	Urine looks dark
162076009	Excessive upper gastrointestinal gas	Excessive upper gastrointestinal gas
77435011000036104	ascorbic acid	ascorbic acid
62315008	Diarrhoea	Diarrhoea
3877011000036101	Lipitor	Lipitor
404640003	Dizziness	Dizziness
76948002	Severe pain	Severe pain
76948002	Severe pain	Severe pain
13791008	Asthenia	Asthenia
60119000	Exhaustion	Exhaustion
3877011000036101	Lipitor	Lipitor
401269004	Fear of falling	Fear of falling
22253000	Pain	Pain
30473006	Pain in pelvis	Pain in pelvis
3877011000036101	Lipitor	Lipitor
68962001	Myalgia	Myalgia
3877011000036101	Lipitor	Lipitor
247592009	Poor short-term memory	Poor short-term memory
76948002	Severe pain	Severe pain
3003011000036100	Tagamet	Tagamet
240131006	Rhabdomyolysis	Rhabdomyolysis
35489007	Depression	Depression
162031009	Indigestion	Indigestion
55929007	Feeling irritable	Feeling irritable
62507009	Pins and needles	Pins and needles
2929011000036108	Nexium	Nexium
29857009	Chest pain	Chest pain
128139000	Inflammatory disorder	Inflammatory disorder
418290006	Itching	Itching
22298006	Myocardial infarction	Myocardial infarction
247441003	Erythema	Erythema
289530006	Vaginal bleeding	Vaginal bleeding
26544005	Muscle weakness	Muscle weakness
26329005	Poor concentration	Poor concentration
76948002	Severe pain	Severe pain
22253000	Pain	Pain
267064002	Urinary retention	Urinary retention
76948002	Severe pain	Severe pain
429513001	Rupture of Achilles tendon	Rupture of Achilles tendon
282145008	Unable to walk	Unable to walk
61387006	Moderate anxiety	Moderate anxiety
76948002	Severe pain	Severe pain
386661006	Fever	Fever
68962001	Myalgia	Myalgia
367391008	Malaise	Malaise
82991003	Generalised aches and pains	Generalised aches and pains
3877011000036101	Lipitor	Lipitor
40806005	Derealisation	Derealisation
15611000168108	Naprosyn	Naprosyn
49218002	Hip pain	Hip pain
22253000	Pain	Pain
309774006	Weakness of limb	Weakness of limb
422400008	Vomiting	Vomiting
161891005	Backache	Backache
30989003	Knee pain	Knee pain
22253000	Pain	Pain
8708008	Sharp pain	Sharp pain
22298006	Myocardial infarction	Myocardial infarction
250082003	Hand cramps	Hand cramps
224960004	Tired	Tired
429783005	Paraesthesia of lower extremity	Paraesthesia of lower extremity
248255005	Cannot sleep at all	Cannot sleep at all
238810007	Flushing	Flushing
279039007	Low back pain	Low back pain
301345002	Difficulty sleeping	Difficulty sleeping
13791008	Asthenia	Asthenia
25064002	Headache	Headache
3877011000036101	Lipitor	Lipitor
367391008	Malaise	Malaise
25701000168107	Enbrel	Enbrel
419723007	Mentally dull	Mentally dull
14760008	Constipation	Constipation
44077006	Numbness	Numbness
76948002	Severe pain	Severe pain
49727002	Cough	Cough
3877011000036101	Lipitor	Lipitor
386692008	Menorrhagia	Menorrhagia
69791001	Increased venous pressure	Increased venous pressure
271782001	Drowsy	Drowsy
55300003	Muscle cramp	Muscle cramp
3877011000036101	Lipitor	Lipitor
124055002	Decreased cholesterol esters	Decreased cholesterol esters
22253000	Pain	Pain
4171011000036100	Celebrex	Celebrex
55300003	Muscle cramp	Muscle cramp
62315008	Diarrhoea	Diarrhoea
54981004	Charleyhorse	Charleyhorse
102551008	Cramp in foot	Cramp in foot
88092000	Muscle atrophy	Muscle atrophy
426206001	Constant pain	Constant pain
6285003	Tachycardia	Tachycardia
57676002	Arthralgia	Arthralgia
278528006	Facial swelling	Facial swelling
84229001	Fatigue	Fatigue
35489007	Depression	Depression
62507009	Pins and needles	Pins and needles
77424011000036100	ubidecarenone	ubidecarenone
267031002	Tiredness symptom	Tiredness symptom
13791008	Asthenia	Asthenia
60862001	Tinnitus	Tinnitus
224960004	Tired	Tired
83547004	Cold sweat	Cold sweat
22253000	Pain	Pain
48167000	Amnesia	Amnesia
30989003	Knee pain	Knee pain
299954009	Tightness sensation	Tightness sensation
5662003	Contusion of hand	Contusion of hand
3877011000036101	Lipitor	Lipitor
3723001	Arthritis	Arthritis
428061005	Malignant neoplasm of brain	Malignant neoplasm of brain
309537005	Numbness of lower limb	Numbness of lower limb
60862001	Tinnitus	Tinnitus
49049000	Parkinson's disease	Parkinson's disease
22253000	Pain	Pain
3877011000036101	Lipitor	Lipitor
8357008	Reduced libido	Reduced libido
3877011000036101	Lipitor	Lipitor
3877011000036101	Lipitor	Lipitor
62476001	Disorientated	Disorientated
302226006	Peripheral neuropathy	Peripheral neuropathy
81680005	Neck pain	Neck pain
309774006	Weakness of limb	Weakness of limb
419723007	Mentally dull	Mentally dull
13791008	Asthenia	Asthenia
21522001	Abdominal pain	Abdominal pain
60862001	Tinnitus	Tinnitus
248490000	Bloating symptom	Bloating symptom
44054006	Type 2 diabetes mellitus	Type 2 diabetes mellitus
22253000	Pain	Pain
3877011000036101	Lipitor	Lipitor
422400008	Vomiting	Vomiting
445445006	Raised low density lipoprotein cholesterol	Raised low density lipoprotein cholesterol
3877011000036101	Lipitor	Lipitor
3877011000036101	Lipitor	Lipitor
84229001	Fatigue	Fatigue
76742009	Postmenopausal bleeding	Postmenopausal bleeding
68962001	Myalgia	Myalgia
69791001	Increased venous pressure	Increased venous pressure
274279008	Renal pain	Renal pain
53057004	Hand pain	Hand pain
404640003	Dizziness	Dizziness
82971005	Impaired mobility	Impaired mobility
84229001	Fatigue	Fatigue
68962001	Myalgia	Myalgia
49049000	Parkinson's disease	Parkinson's disease
449917004	Cramp in lower limb	Cramp in lower limb
26544005	Muscle weakness	Muscle weakness
13644009	Hypercholesterolaemia	Hypercholesterolaemia
288226003	Myalgia/myositis - shoulder	Myalgia/myositis - shoulder
202490009	Ankle joint pain	Ankle joint pain
3723001	Arthritis	Arthritis
301676004	Unable to get off a bed	Unable to get off a bed
88092000	Muscle atrophy	Muscle atrophy
48694002	Anxiety	Anxiety
56265001	Heart disease	Heart disease
161874006	Heavy feeling	Heavy feeling
102556003	Pain in upper limb	Pain in upper limb
26889001	Myositis	Myositis
224962007	Hot sweats	Hot sweats
55300003	Muscle cramp	Muscle cramp
162290004	Dry eyes	Dry eyes
419723007	Mentally dull	Mentally dull
4216011000036104	Norvasc	Norvasc
13791008	Asthenia	Asthenia
162059005	Upset stomach	Upset stomach
3298011000036103	Lipex	Lipex
